Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-07-17 00:00:00,Costa Rica,Costa Rica,CR,42.37,89.03,89.60,89.60,grupoice.com
2023-07-18 00:00:00,Costa Rica,Costa Rica,CR,6.12,32.42,98.53,98.53,grupoice.com
2023-07-19 00:00:00,Costa Rica,Costa Rica,CR,0.48,23.78,99.90,99.90,grupoice.com
2023-07-20 00:00:00,Costa Rica,Costa Rica,CR,2.09,26.45,99.53,99.53,grupoice.com
2023-07-21 00:00:00,Costa Rica,Costa Rica,CR,26.35,63.87,93.54,93.54,grupoice.com
2023-07-22 00:00:00,Costa Rica,Costa Rica,CR,15.96,48.98,96.09,96.09,Electricity Maps Estimation; grupoice.com
2023-07-23 00:00:00,Costa Rica,Costa Rica,CR,2.09,27.05,99.51,99.51,grupoice.com
2023-07-24 00:00:00,Costa Rica,Costa Rica,CR,1.06,24.77,99.78,99.78,grupoice.com
2023-07-25 00:00:00,Costa Rica,Costa Rica,CR,5.66,31.93,98.63,98.63,grupoice.com
2023-07-26 00:00:00,Costa Rica,Costa Rica,CR,19.60,53.77,95.19,95.19,grupoice.com
2023-07-27 00:00:00,Costa Rica,Costa Rica,CR,39.80,85.04,90.21,90.21,grupoice.com
2023-07-28 00:00:00,Costa Rica,Costa Rica,CR,46.68,96.09,88.54,88.54,grupoice.com
2023-07-29 00:00:00,Costa Rica,Costa Rica,CR,58.44,114.73,85.67,85.67,grupoice.com
2023-07-30 00:00:00,Costa Rica,Costa Rica,CR,62.08,119.69,84.75,84.75,grupoice.com
2023-07-31 00:00:00,Costa Rica,Costa Rica,CR,76.51,142.31,81.22,81.22,grupoice.com
2023-08-01 00:00:00,Costa Rica,Costa Rica,CR,103.60,185.80,74.58,74.58,Electricity Maps Estimation; grupoice.com
2023-08-02 00:00:00,Costa Rica,Costa Rica,CR,70.65,133.22,82.70,82.70,grupoice.com
2023-08-03 00:00:00,Costa Rica,Costa Rica,CR,62.27,120.22,84.72,84.72,grupoice.com
2023-08-04 00:00:00,Costa Rica,Costa Rica,CR,53.93,106.47,86.76,86.76,Electricity Maps Estimation; grupoice.com
2023-08-05 00:00:00,Costa Rica,Costa Rica,CR,52.83,104.45,87.05,87.05,grupoice.com
2023-08-06 00:00:00,Costa Rica,Costa Rica,CR,56.66,110.43,86.12,86.12,grupoice.com
2023-08-07 00:00:00,Costa Rica,Costa Rica,CR,78.94,145.17,80.64,80.64,Electricity Maps Estimation; grupoice.com
2023-08-08 00:00:00,Costa Rica,Costa Rica,CR,84.00,153.50,79.37,79.37,grupoice.com
2023-08-09 00:00:00,Costa Rica,Costa Rica,CR,83.25,152.52,79.55,79.55,Electricity Maps Estimation; grupoice.com
2023-08-10 00:00:00,Costa Rica,Costa Rica,CR,83.91,153.64,79.40,79.40,grupoice.com
2023-08-11 00:00:00,Costa Rica,Costa Rica,CR,86.43,157.45,78.80,78.80,Electricity Maps Estimation; grupoice.com
2023-08-12 00:00:00,Costa Rica,Costa Rica,CR,91.36,165.16,77.57,77.57,Electricity Maps Estimation; grupoice.com
2023-08-13 00:00:00,Costa Rica,Costa Rica,CR,100.53,179.91,75.37,75.37,grupoice.com
